ASSERTION	AAEDAAEBAwAAAAAAAIjDQA==
RUN	io.microsamples.testz.simulation.GetRootsSimulation	getrootssimulation	1572903200171	 	3.2.1
REQUEST	61		get remote chachkies	1572903207272	1572903207306	OK	 
USER	Get Remote Chachkies	61	END	1572903207272	1572903207306
USER	Get Remote Chachkies	62	START	1572903207372	1572903207372
REQUEST	62		get remote chachkies	1572903207372	1572903207406	OK	 
USER	Get Remote Chachkies	62	END	1572903207372	1572903207407
USER	Get Remote Chachkies	63	START	1572903207473	1572903207473
REQUEST	63		get remote chachkies	1572903207473	1572903207510	OK	 
USER	Get Remote Chachkies	63	END	1572903207473	1572903207511
USER	Get Remote Chachkies	64	START	1572903207572	1572903207572
REQUEST	64		get remote chachkies	1572903207573	1572903207602	OK	 
USER	Get Remote Chachkies	64	END	1572903207572	1572903207603
USER	Get Remote Chachkies	65	START	1572903207673	1572903207673
REQUEST	65		get remote chachkies	1572903207674	1572903207709	OK	 
USER	Get Remote Chachkies	65	END	1572903207673	1572903207709
USER	Get Remote Chachkies	66	START	1572903207772	1572903207772
REQUEST	66		get remote chachkies	1572903207772	1572903207811	OK	 
USER	Get Remote Chachkies	66	END	1572903207772	1572903207812
USER	Get Remote Chachkies	67	START	1572903207873	1572903207873
REQUEST	67		get remote chachkies	1572903207873	1572903207907	OK	 
USER	Get Remote Chachkies	67	END	1572903207873	1572903207907
USER	Get Remote Chachkies	68	START	1572903207971	1572903207971
REQUEST	68		get remote chachkies	1572903207972	1572903208005	OK	 
USER	Get Remote Chachkies	68	END	1572903207971	1572903208005
USER	Get Remote Chachkies	69	START	1572903208072	1572903208072
REQUEST	69		get remote chachkies	1572903208073	1572903208104	OK	 
USER	Get Remote Chachkies	69	END	1572903208072	1572903208105
USER	Get Remote Chachkies	70	START	1572903208173	1572903208173
REQUEST	70		get remote chachkies	1572903208173	1572903208211	OK	 
USER	Get Remote Chachkies	70	END	1572903208173	1572903208212
USER	Get Remote Chachkies	71	START	1572903208272	1572903208272
REQUEST	71		get remote chachkies	1572903208272	1572903208303	OK	 
USER	Get Remote Chachkies	71	END	1572903208272	1572903208304
USER	Get Remote Chachkies	72	START	1572903208373	1572903208373
REQUEST	72		get remote chachkies	1572903208374	1572903208406	OK	 
USER	Get Remote Chachkies	72	END	1572903208373	1572903208407
USER	Get Remote Chachkies	73	START	1572903208471	1572903208471
REQUEST	73		get remote chachkies	1572903208471	1572903208503	OK	 
USER	Get Remote Chachkies	73	END	1572903208471	1572903208504
USER	Get Remote Chachkies	74	START	1572903208571	1572903208571
REQUEST	74		get remote chachkies	1572903208572	1572903208606	OK	 
USER	Get Remote Chachkies	74	END	1572903208571	1572903208606
USER	Get Remote Chachkies	75	START	1572903208671	1572903208671
REQUEST	75		get remote chachkies	1572903208672	1572903208704	OK	 
USER	Get Remote Chachkies	75	END	1572903208671	1572903208704
USER	Get Remote Chachkies	76	START	1572903208772	1572903208772
REQUEST	76		get remote chachkies	1572903208776	1572903208808	OK	 
USER	Get Remote Chachkies	76	END	1572903208772	1572903208808
USER	Get Remote Chachkies	77	START	1572903208872	1572903208872
REQUEST	77		get remote chachkies	1572903208872	1572903208926	OK	 
USER	Get Remote Chachkies	77	END	1572903208872	1572903208926
USER	Get Remote Chachkies	78	START	1572903208971	1572903208971
REQUEST	78		get remote chachkies	1572903208972	1572903209003	OK	 
USER	Get Remote Chachkies	78	END	1572903208971	1572903209004
USER	Get Remote Chachkies	79	START	1572903209073	1572903209073
REQUEST	79		get remote chachkies	1572903209073	1572903209106	OK	 
USER	Get Remote Chachkies	79	END	1572903209073	1572903209106
USER	Get Remote Chachkies	80	START	1572903209171	1572903209171
REQUEST	80		get remote chachkies	1572903209172	1572903209203	OK	 
USER	Get Remote Chachkies	80	END	1572903209171	1572903209203
USER	Get Remote Chachkies	81	START	1572903209274	1572903209274
REQUEST	81		get remote chachkies	1572903209275	1572903209306	OK	 
USER	Get Remote Chachkies	81	END	1572903209274	1572903209307
USER	Get Remote Chachkies	82	START	1572903209371	1572903209371
REQUEST	82		get remote chachkies	1572903209372	1572903209402	OK	 
USER	Get Remote Chachkies	82	END	1572903209371	1572903209403
USER	Get Remote Chachkies	83	START	1572903209472	1572903209472
REQUEST	83		get remote chachkies	1572903209472	1572903209507	OK	 
USER	Get Remote Chachkies	83	END	1572903209472	1572903209508
USER	Get Remote Chachkies	84	START	1572903209571	1572903209571
REQUEST	84		get remote chachkies	1572903209572	1572903209622	OK	 
USER	Get Remote Chachkies	84	END	1572903209571	1572903209623
USER	Get Remote Chachkies	85	START	1572903209674	1572903209674
REQUEST	85		get remote chachkies	1572903209674	1572903209707	OK	 
USER	Get Remote Chachkies	85	END	1572903209674	1572903209708
USER	Get Remote Chachkies	86	START	1572903209772	1572903209772
REQUEST	86		get remote chachkies	1572903209772	1572903209832	OK	 
USER	Get Remote Chachkies	86	END	1572903209772	1572903209832
USER	Get Remote Chachkies	87	START	1572903209871	1572903209871
REQUEST	87		get remote chachkies	1572903209872	1572903209905	OK	 
USER	Get Remote Chachkies	87	END	1572903209871	1572903209906
USER	Get Remote Chachkies	88	START	1572903209971	1572903209971
REQUEST	88		get remote chachkies	1572903209972	1572903210031	OK	 
USER	Get Remote Chachkies	88	END	1572903209971	1572903210031
USER	Get Remote Chachkies	89	START	1572903210074	1572903210074
REQUEST	89		get remote chachkies	1572903210074	1572903210106	OK	 
USER	Get Remote Chachkies	89	END	1572903210074	1572903210106
USER	Get Remote Chachkies	90	START	1572903210173	1572903210173
REQUEST	90		get remote chachkies	1572903210174	1572903210210	OK	 
USER	Get Remote Chachkies	90	END	1572903210173	1572903210211
USER	Get Remote Chachkies	91	START	1572903210271	1572903210271
REQUEST	91		get remote chachkies	1572903210272	1572903210304	OK	 
USER	Get Remote Chachkies	91	END	1572903210271	1572903210304
USER	Get Remote Chachkies	92	START	1572903210373	1572903210373
REQUEST	92		get remote chachkies	1572903210373	1572903210410	OK	 
USER	Get Remote Chachkies	92	END	1572903210373	1572903210410
USER	Get Remote Chachkies	93	START	1572903210474	1572903210474
REQUEST	93		get remote chachkies	1572903210474	1572903210505	OK	 
USER	Get Remote Chachkies	93	END	1572903210474	1572903210506
USER	Get Remote Chachkies	94	START	1572903210574	1572903210574
REQUEST	94		get remote chachkies	1572903210574	1572903210608	OK	 
USER	Get Remote Chachkies	94	END	1572903210574	1572903210608
USER	Get Remote Chachkies	95	START	1572903210671	1572903210671
REQUEST	95		get remote chachkies	1572903210672	1572903210703	OK	 
USER	Get Remote Chachkies	95	END	1572903210671	1572903210704
USER	Get Remote Chachkies	96	START	1572903210773	1572903210773
REQUEST	96		get remote chachkies	1572903210773	1572903210807	OK	 
USER	Get Remote Chachkies	96	END	1572903210773	1572903210807
USER	Get Remote Chachkies	97	START	1572903210871	1572903210871
REQUEST	97		get remote chachkies	1572903210872	1572903210905	OK	 
USER	Get Remote Chachkies	97	END	1572903210871	1572903210905
USER	Get Remote Chachkies	98	START	1572903210973	1572903210973
REQUEST	98		get remote chachkies	1572903210973	1572903211004	OK	 
USER	Get Remote Chachkies	98	END	1572903210973	1572903211005
USER	Get Remote Chachkies	99	START	1572903211073	1572903211073
REQUEST	99		get remote chachkies	1572903211074	1572903211104	OK	 
USER	Get Remote Chachkies	99	END	1572903211073	1572903211105
USER	Get Remote Chachkies	100	START	1572903211171	1572903211171
REQUEST	100		get remote chachkies	1572903211172	1572903211204	OK	 
USER	Get Remote Chachkies	100	END	1572903211171	1572903211204
